matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.yellow_cards.home,statistics.yellow_cards.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.free_kicks.home,statistics.free_kicks.away,statistics.throw-ins.home,statistics.throw-ins.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away,information.referee
ETuMifgB,1/32-FINALS,FINISHED,29.01.2022 13:30,Ettahrir,https://static.flashscore.com/res/image/data/dh8jX1Xg-n1oCCiBU.png,Zitouna Chommakh,https://static.flashscore.com/res/image/data/zZZCricM-jaDAnITI.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
8juQjE8H,1/32-FINALS,AFTER PENALTIES,29.01.2022 13:30,Kerib,https://static.flashscore.com/res/image/data/UDnC2ug5-dMmTDlMP.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,1,0,0-0,6-5,,,,,,,,,,,,,,,,,,,,,
trd2XP7d,1/32-FINALS,FINISHED,29.01.2022 13:30,Magel Bel Abbes,https://static.flashscore.com/res/image/data/K4hbefe5-fZlUhOoh.png,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,2,0,,,,,,,,,,,,,,,,,,,,,,,
Uckpd9pc,1/32-FINALS,FINISHED,29.01.2022 13:30,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
UPBHfd9h,1/32-FINALS,FINISHED,29.01.2022 13:30,Progres Sakiet,https://static.flashscore.com/res/image/data/t0YQckjl-W8kdK7Z2.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,3,5,,,,,,,,,,,,,,,,,,,,,,,
8GALgGOb,1/32-FINALS,FINISHED,29.01.2022 13:30,Sbikha,https://static.flashscore.com/res/image/data/2kBe06Fa-SKzhCmi9.png,Olympique Kef,https://static.flashscore.com/res/image/data/QslOibZg-2ZKZQIc5.png,2,1,,,,,,,,,,,,,,,,,,,,,,,
hW2oOQcP,1/64-FINALS,FINISHED,23.01.2022 13:30,AS Djerba,https://static.flashscore.com/res/image/data/rgFzPdYA-KYuuicg3.png,CO Medenine,https://static.flashscore.com/res/image/data/SUjK8zcM-KUuVL7Sc.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
tASgWNkn,1/64-FINALS,AFTER PENALTIES,23.01.2022 13:30,Bembla,https://static.flashscore.com/res/image/data/IDspr1Da-Y3QCyThc.png,Sfax Railways,https://static.flashscore.com/res/image/data/jwqoOUEa-v9Pmbxzb.png,1,2,1-1,6-7,,,,,,,,,,,,,,,,,,,,,
2JTkX3zt,1/64-FINALS,AWARDED,23.01.2022 13:30,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,Menzel Nour,https://static.flashscore.com/res/image/data/tv35NfDa-ChpgH75K.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
CfhpCK4U,1/64-FINALS,FINISHED,23.01.2022 13:30,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,1,0,,,,,,,,,,,,,,,,,,,,,,,
ju4yEtzI,1/64-FINALS,FINISHED,23.01.2022 13:30,Sporting Ben Arous,https://static.flashscore.com/res/image/data/GI7DQxgl-Gx7siOZg.png,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
4O1PGrja,1/64-FINALS,FINISHED,23.01.2022 13:30,Tabarka,https://static.flashscore.com/res/image/data/E5rC9CWg-0MAphK8f.png,AS Mohamdia,https://static.flashscore.com/res/image/data/drgNGNBr-dAqyfDKN.png,2,1,,,,,,,,,,,,,,,,,,,,,,,
xx0XEMKB,1/64-FINALS,AWARDED,22.01.2022 13:30,ES Jerba,https://static.flashscore.com/res/image/data/8W1ttZWg-SfBPiv7T.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
nm7KHOzg,1/64-FINALS,FINISHED,22.01.2022 13:30,Jendouba Sport,https://static.flashscore.com/res/image/data/zZ6CEqDa-xn8wh4Km.png,SS Sfaxien,https://static.flashscore.com/res/image/data/vHtWxMYg-K67qH5mi.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
EZ8CJp6t,1/64-FINALS,FINISHED,22.01.2022 13:30,Kalaa,https://static.flashscore.com/res/image/data/2DC3QnBr-GjCwVWmD.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
Y3gtD0kO,1/64-FINALS,AWARDED,22.01.2022 13:30,Korba,https://static.flashscore.com/res/image/data/2u7FXwxS-xn8wh4Km.png,Stade Gabesien,https://static.flashscore.com/res/image/data/YBoBnxAr-b3uqjdCG.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
rF0TF255,1/64-FINALS,FINISHED,22.01.2022 13:30,Msaken,https://static.flashscore.com/res/image/data/AqMl5kwS-OMKvAEwD.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,6,3,,,,,,,,,,,,,,,,,,,,,,,
8d8GI4Ln,1/64-FINALS,FINISHED,22.01.2022 13:30,Oued Ellil,https://static.flashscore.com/res/image/data/MXILGUyS-r35YtXLa.png,Rades,https://static.flashscore.com/res/image/data/G4HsLPfM-QNK91MhA.png,1,2,,,,,,,,,,,,,,,,,,,,,,,
