matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,information.referee,information.venue,information.capacity,statistics.ball_possession.home,statistics.ball_possession.away,statistics.total_shots.home,statistics.total_shots.away,statistics.shots_on_target.home,statistics.shots_on_target.away,statistics.corner_kicks.home,statistics.corner_kicks.away,statistics.yellow_cards.home,statistics.yellow_cards.away,statistics.shots_off_target.home,statistics.shots_off_target.away,statistics.free_kicks.home,statistics.free_kicks.away,statistics.throw-ins.home,statistics.throw-ins.away,statistics.goalkeeper_saves.home,statistics.goalkeeper_saves.away
UcZbwrhH,1/16-FINALS,AFTER PENALTIES,25.05.2021 15:00,JS Kairouan,https://static.flashscore.com/res/image/data/xQfAzKCa-beBXmIt1.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,0,1,0-0,4-5,,,,,,,,,,,,,,,,,,,,,
MXVju4N4,1/16-FINALS,FINISHED,25.05.2021 15:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,2,0,,,,Boujemaa Kmiti Stadium (Béja),15 000,,,,,,,,,,,,,,,,,,
0OUfvOxB,1/16-FINALS,FINISHED,25.05.2021 15:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,2,1,,,,,,,,,,,,,,,,,,,,,,,
vVkJH9Pt,1/32-FINALS,FINISHED,23.05.2021 15:00,Beni Khedache,https://static.flashscore.com/res/image/data/GGF0btFa-hGH2ETbo.png,Tabarka,https://static.flashscore.com/res/image/data/E5rC9CWg-0MAphK8f.png,0,2,,,,,,,,,,,,,,,,,,,,,,,
CKsWE79a,1/32-FINALS,AFTER PENALTIES,23.05.2021 15:00,Bir Bouregba,https://static.flashscore.com/res/image/data/IaxJ33GG-CfPGzm83.png,CO Transports,https://static.flashscore.com/res/image/data/G4LS52wS-Y9XrgGum.png,1,2,1-1,6-7,,,,,,,,,,,,,,,,,,,,,
t0ZnBP8O,1/32-FINALS,FINISHED,23.05.2021 15:00,Bizerte,https://static.flashscore.com/res/image/data/fg5GL5Cr-CfPGzm83.png,Hammam-Lif,https://static.flashscore.com/res/image/data/OS9H90g5-25iFJh20.png,0,3,,,,,,,,,,,,,,,,,,,,,,,
pYuvDovC,1/32-FINALS,FINISHED,23.05.2021 15:00,Carthage,https://static.flashscore.com/res/image/data/dbPvtsBr-Kz5IDlTA.png,EGS Gafsa,https://static.flashscore.com/res/image/data/4QpefwEa-6kIbSAtS.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
29zqC5gI,1/32-FINALS,FINISHED,23.05.2021 15:00,Enfida Sports,https://static.flashscore.com/res/image/data/6ezmXGCa-IPZOWBuE.png,Rouhia,https://static.flashscore.com/res/image/data/f9iEp9il-xrKUW7RQ.png,2,1,,,,,,,,,,,,,,,,,,,,,,,
6sszERO5,1/32-FINALS,FINISHED,23.05.2021 15:00,Espoir Rogba,https://static.flashscore.com/res/image/data/K6T89IXg-63ZB9bOR.png,AS Gabes,https://static.flashscore.com/res/image/data/dMU2lUcM-EgOnwaeL.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
jBU2FJrD,1/32-FINALS,FINISHED,23.05.2021 15:00,Hezoua,https://static.flashscore.com/res/image/data/hA05HzvS-hGH2ETbo.png,Redeyef,https://static.flashscore.com/res/image/data/65rUqnzB-xzIaewWu.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
8namNV1J,1/32-FINALS,FINISHED,23.05.2021 15:00,Khniss,https://static.flashscore.com/res/image/data/bHjnJcYg-CfPGzm83.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,0,2,,,,,,,,,,,,,,,,,,,,,,,
4EY6EwbJ,1/32-FINALS,FINISHED,22.05.2021 15:00,Ahly Sfaxien,https://static.flashscore.com/res/image/data/zZNtiZXg-bwClHTY9.png,Zarzis,https://static.flashscore.com/res/image/data/txwPSRf5-Eua5PHRE.png,0,1,,,,,,,,,,,,,,,,,,,,,,,
0pvSFmfg,1/32-FINALS,FINISHED,22.05.2021 15:00,Ariana,https://static.flashscore.com/res/image/data/KlFYhsAr-xn8wh4Km.png,SS Sfaxien,https://static.flashscore.com/res/image/data/vHtWxMYg-K67qH5mi.png,2,0,,,,,,,,,,,,,,,,,,,,,,,
dlVbGaT6,1/32-FINALS,AFTER PENALTIES,22.05.2021 15:00,Bembla,https://static.flashscore.com/res/image/data/IDspr1Da-Y3QCyThc.png,Union Ksibet Mediouni,https://static.flashscore.com/res/image/data/IFOGS6eM-Y3QCyThc.png,2,1,1-1,5-3,,,,,,,,,,,,,,,,,,,,,
nwbiMkHP,1/32-FINALS,AWARDED,22.05.2021 15:00,EM Mahdia,https://static.flashscore.com/res/image/data/G8k40aCa-ITL0iSYq.png,BS Bouhajla,https://static.flashscore.com/res/image/data/SM566Fhl-f76oETpp.png,3,0,,,,,,,,,,,,,,,,,,,,,,,
nDvHtnqN,1/32-FINALS,AFTER PENALTIES,22.05.2021 15:00,Jerissa,https://static.flashscore.com/res/image/data/0xNfmxFG-jgpInfTH.png,SS Gafsa,https://static.flashscore.com/res/image/data/2PFVQ8YA-IHmeUZM3.png,1,2,1-1,3-4,,,,,,,,,,,,,,,,,,,,,
ILlNGTvm,1/32-FINALS,FINISHED,22.05.2021 15:00,Mareth,https://static.flashscore.com/res/image/data/b3oLv0yB-GUQR1ULC.png,ES BouHajla,https://static.flashscore.com/res/image/data/IgO7K1ZA-Qmtm30D7.png,1,0,,,,,,,,,,,,,,,,,,,,,,,
