matchId,stage,status,date,home.name,home.image,away.name,away.image,result.home,result.away,result.regulationTime,result.penalties,home_scorers,away_scorers,information.venue,information.capacity
GxdmGgys,ROUND 14,FINISHED,30.06.2023 16:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,2,1,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
rkRYdWzJ,ROUND 13,FINISHED,27.06.2023 16:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,0,,,,,7 March Stadium (Ben Guerdane),2 000
AeJKKZSP,ROUND 14,FINISHED,30.06.2023 16:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,5,0,,,,,,
MZxQbh66,ROUND 13,FINISHED,27.06.2023 16:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
E9ZH0Eyf,ROUND 12,FINISHED,24.06.2023 16:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
4bSUcCLC,ROUND 13,FINISHED,27.06.2023 16:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,4,0,,,,,,
zJzE1fMm,ROUND 12,FINISHED,24.06.2023 16:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,2,0,,,,,,
ENEjFDjm,ROUND 14,FINISHED,30.06.2023 16:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,1,1,,,,,,
8WYLaYj0,ROUND 13,FINISHED,26.06.2023 16:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,3,,,,,Boujemaa Kmiti Stadium (Béja),15 000
W4KGLFDJ,ROUND 14,FINISHED,30.06.2023 16:30,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,6,,,,,,
f7JG2z7s,ROUND 12,FINISHED,23.06.2023 16:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,3,1,,,,,,
hbXl7GbQ,ROUND 12,FINISHED,23.06.2023 16:30,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,1,2,,,,,,
byYp8dqK,ROUND 11,FINISHED,11.06.2023 16:30,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,2,0,,,,,Boujemaa Kmiti Stadium (Béja),15 000
pYTt9xUD,ROUND 11,FINISHED,11.06.2023 16:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,5,0,,,,,7 March Stadium (Ben Guerdane),2 000
4xifoZy7,ROUND 11,FINISHED,10.06.2023 16:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,1,1,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
rTkbpgiD,ROUND 11,FINISHED,10.06.2023 16:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,0,0,,,,,,
dCmnme7f,ROUND 10,FINISHED,08.06.2023 16:30,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,1,0,,,,,,
2DfwkHxr,ROUND 10,FINISHED,07.06.2023 16:30,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,2,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
Embslyhl,ROUND 10,FINISHED,06.06.2023 16:30,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,2,2,,,,,,
z3njnFM0,ROUND 10,FINISHED,07.06.2023 16:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,,,,,,
6s97fwFK,ROUND 9,FINISHED,04.06.2023 16:30,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,2,0,,,,,7 March Stadium (Ben Guerdane),2 000
AFFbdap8,ROUND 9,FINISHED,03.06.2023 16:30,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,2,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
l6E2eJaE,ROUND 9,FINISHED,04.06.2023 16:30,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,3,2,,,,,,
pY7BgcUQ,ROUND 9,FINISHED,03.06.2023 16:30,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,3,0,,,,,,
dCRGXF77,ROUND 8,FINISHED,01.06.2023 17:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,2,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
MgZ3zINl,ROUND 8,AWARDED,31.05.2023 16:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,2,,,,,Boujemaa Kmiti Stadium (Béja),15 000
CtPDSNQ3,ROUND 10,FINISHED,27.05.2023 16:00,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,1,0,,,,,,
K6SLQ1eG,ROUND 10,FINISHED,27.05.2023 16:00,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,2,1,,,,,,
0pY7Zywe,ROUND 8,FINISHED,27.05.2023 16:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,1,1,,,,,,
jXNHRstA,ROUND 10,FINISHED,27.05.2023 16:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,1,2,,,,,,
r9NCYeh1,ROUND 8,FINISHED,27.05.2023 14:00,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,0,4,,,,,,
UsuQs0VE,ROUND 7,FINISHED,23.05.2023 17:00,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,3,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
4vrN50Jj,ROUND 9,FINISHED,21.05.2023 16:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,0,1,,,,,,
IsW4Uqdi,ROUND 9,FINISHED,21.05.2023 16:00,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,1,1,,,,,,
UHZ8T3Bc,ROUND 9,FINISHED,21.05.2023 16:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,2,1,,,,,,
Q9YYuv0R,ROUND 7,FINISHED,21.05.2023 16:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,1,1,,,,,7 March Stadium (Ben Guerdane),2 000
roqUtKpL,ROUND 7,FINISHED,20.05.2023 16:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,0,,,,,Boujemaa Kmiti Stadium (Béja),15 000
SIK0yb8r,ROUND 7,FINISHED,16.05.2023 16:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,0,0,,,,,,
pf1jBMeT,ROUND 8,FINISHED,14.05.2023 16:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,1,0,,,,,,
632nC2tN,ROUND 8,AWARDED,14.05.2023 16:00,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,0,2,,,,,,
QmqJ6t4p,ROUND 8,FINISHED,14.05.2023 16:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,2,0,,,,,,
vgCXyAsd,ROUND 6,FINISHED,08.05.2023 17:00,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,3,0,,,,,,
Ct3rDrRG,ROUND 7,FINISHED,08.05.2023 16:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,0,0,,,,,,
GE9ZE4d4,ROUND 7,FINISHED,08.05.2023 16:00,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,0,2,,,,,,
bwavEOBA,ROUND 7,FINISHED,08.05.2023 16:00,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,2,0,,,,,,
IqByyUd2,ROUND 6,FINISHED,07.05.2023 17:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,0,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
zLuMrtG8,ROUND 6,FINISHED,07.05.2023 16:00,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,2,0,,,,,,
dUtIqM02,ROUND 6,FINISHED,06.05.2023 16:00,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,0,4,,,,,,
pWCTxjSk,ROUND 5,FINISHED,03.05.2023 16:00,CS Sfaxien,https://static.flashscore.com/res/image/data/p8kZTpYg-8QjOsK1t.png,Esperance Tunis,https://static.flashscore.com/res/image/data/hOAuxACa-QwBpoY8M.png,1,0,,,,,,
hbeeebrH,ROUND 5,FINISHED,04.05.2023 16:00,Ben Guerdane,https://static.flashscore.com/res/image/data/d6nyMpHG-bNN2piW2.png,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,3,2,,,,,7 March Stadium (Ben Guerdane),2 000
Ye9PwWCq,ROUND 5,FINISHED,30.04.2023 17:00,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,Etoile Sahel,https://static.flashscore.com/res/image/data/6klw1Cf5-8flds5zI.png,0,1,,,,,Stade Olympique Hammadi Agrebi (Radès),60 000
j7CNH6Co,ROUND 6,FINISHED,30.04.2023 16:00,Metlaoui,https://static.flashscore.com/res/image/data/AXYBOhe5-xQxsaZ8c.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,1,2,,,,,,
UcBRGQRi,ROUND 6,FINISHED,30.04.2023 16:00,Stade Tunisien,https://static.flashscore.com/res/image/data/WWpbDXxS-GOX2DTa1.png,Soliman,https://static.flashscore.com/res/image/data/nHaj7LEa-fZGJDt4L.png,0,1,,,,,,
xOAVFpsb,ROUND 6,FINISHED,30.04.2023 16:00,Sidi Bouzid,https://static.flashscore.com/res/image/data/E1DgnkwS-IN4jHlGF.png,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,0,1,,,,,,
E7didvTA,ROUND 5,FINISHED,30.04.2023 16:00,Olympique Beja,https://static.flashscore.com/res/image/data/lxopNQf5-lhdmzxg9.png,US Tataouine,https://static.flashscore.com/res/image/data/46y5U5g5-lQPuHXzh.png,2,0,,,,,Boujemaa Kmiti Stadium (Béja),15 000
AFaz0MTo,ROUND 4,FINISHED,26.04.2023 16:00,Monastir,https://static.flashscore.com/res/image/data/d0ShEHHG-OlRcOd3K.png,Club Africain,https://static.flashscore.com/res/image/data/MmqUP4GG-bob4M53H.png,0,1,,,,,,
r367BVkC,ROUND 5,FINISHED,26.04.2023 15:00,CA Bizertin,https://static.flashscore.com/res/image/data/6Z47bcxS-KnNw8eel.png,Hamam-Sousse,https://static.flashscore.com/res/image/data/GKVulS9r-OIM3sMvL.png,2,2,,,,,,
